Fecha,isla,nombre_isla,toneladas_pred,cisternas_equivalentes_pred,fecha_corte_modelo,fecha_generacion,tipo_forecast
2026-09-24,GC,Gran Canaria,48.874049909455415,2.036418746227309,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-24,TF,Tenerife,29.687671723170126,1.2369863217987553,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-25,GC,Gran Canaria,44.07374087431781,1.836405869763242,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-25,TF,Tenerife,29.761314338481597,1.2400547641033999,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-26,GC,Gran Canaria,50.34282548831016,2.09761772867959,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-26,TF,Tenerife,29.979277394330904,1.249136558097121,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-27,GC,Gran Canaria,39.36435228127066,1.6401813450529443,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-27,TF,Tenerife,30.973178286512557,1.2905490952713565,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-28,GC,Gran Canaria,62.08977494528342,2.587073956053476,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-28,TF,Tenerife,37.2249839963986,1.5510409998499417,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-29,GC,Gran Canaria,51.89606503354277,2.162336043064282,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-29,TF,Tenerife,36.04862781304953,1.5020261588770636,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-30,GC,Gran Canaria,60.19433758931915,2.5080973995549645,2026-08-26,2026-08-27 07:55:52,anticipado
2026-09-30,TF,Tenerife,34.52659643330793,1.4386081847211638,2026-08-26,2026-08-27 07:55:52,anticipado
