Fecha,toneladas,dia_semana,dias_desde_festivo,dias_hasta_festivo,mes,trimestre,isla,toneladas_lag_1,toneladas_lag_2,toneladas_lag_3,toneladas_lag_7,toneladas_media_7d,toneladas_media_14d,toneladas_media_30d,toneladas_max_7d,toneladas_min_7d
2024-03-05,47.379684,1,59,24,3,1,TF,71.068305,71.12651,47.159424,47.985696,54.32157928571428,50.266032142857135,48.26203286666667,71.1786,23.748048
2024-03-06,47.135484,2,60,23,3,1,TF,47.379684,71.068305,71.12651,47.984472,54.23500614285714,50.20253278571429,49.03685733333334,71.1786,23.748048
2024-03-07,47.134263,3,61,22,3,1,TF,47.135484,47.379684,71.068305,23.748048,54.11372214285715,50.20699057142857,48.1946268,71.1786,23.748048
2024-03-08,47.134263,4,62,21,3,1,TF,47.134263,47.135484,47.379684,71.1786,57.45461,50.1375185,48.1581265,71.1786,47.134263
2024-03-09,70.321212,5,63,20,3,1,TF,47.134263,47.134263,47.135484,47.159424,54.01970471428571,50.09148907142857,47.32794886666667,71.12651,47.134263
2024-03-10,47.134263,6,64,19,3,1,TF,70.321212,47.134263,47.134263,71.12651,57.32853157142857,50.80925778571429,48.08062606666667,71.12651,47.134263
2024-03-11,47.171644,0,65,18,3,1,TF,47.134263,70.321212,47.134263,71.068305,53.90106771428571,52.46239085714285,48.85608656666667,71.068305,47.134263
2024-03-12,47.133042,1,66,17,3,1,TF,47.171644,47.134263,70.321212,47.379684,50.487259,52.40441914285714,50.4284747,70.321212,47.134263
2024-03-13,47.133042,2,67,16,3,1,TF,47.133042,47.171644,47.134263,47.135484,50.45202442857143,52.34351528571428,51.199201933333335,70.321212,47.133042
2024-03-14,47.133042,3,68,15,3,1,TF,47.133042,47.133042,47.171644,47.134263,50.45167557142857,52.28269885714286,51.965805,70.321212,47.133042
2024-03-15,47.133042,4,69,14,3,1,TF,47.133042,47.133042,47.133042,47.134263,50.45150114285714,53.95305557142857,52.7324489,70.321212,47.133042
2024-03-16,47.172866,5,70,13,3,1,TF,47.133042,47.133042,47.133042,70.321212,50.45132671428571,52.23551571428572,51.8901778,70.321212,47.133042
2024-03-17,47.171644,6,71,12,3,1,TF,47.172866,47.133042,47.133042,47.134263,47.14442014285714,52.23647585714286,50.26111,47.172866,47.133042
2024-03-18,46.825818,0,72,11,3,1,TF,47.171644,47.172866,47.133042,47.171644,47.14976028571429,50.525414000000005,50.24091646666668,47.172866,47.133042
2024-03-19,47.135484,1,73,10,3,1,TF,46.825818,47.171644,47.172866,47.133042,47.10035657142857,48.793807785714286,50.22314346666666,47.172866,46.825818
2024-03-20,47.171644,2,74,9,3,1,TF,47.135484,46.825818,47.171644,47.133042,47.10070542857142,48.77636492857143,50.9939521,47.172866,46.825818
2024-03-21,47.172866,3,75,8,3,1,TF,47.171644,47.135484,46.825818,47.133042,47.10622,48.77894778571429,49.37149623333333,47.172866,46.825818
2024-03-22,47.171644,4,76,7,3,1,TF,47.172866,47.171644,47.135484,47.133042,47.11190914285714,48.78170514285714,49.33496926666667,47.172866,46.825818
2024-03-23,46.75983,5,77,6,3,1,TF,47.171644,47.172866,47.171644,47.172866,47.117423714285714,48.78437521428572,49.3382549,47.172866,46.825818
2024-03-24,23.585822,6,78,5,3,1,TF,46.75983,47.171644,47.172866,47.171644,47.05841857142857,47.10141935714285,49.2933535,47.172866,46.75983
2024-03-25,47.134263,0,79,4,3,1,TF,23.585822,46.75983,47.171644,46.825818,43.68901542857144,45.41938785714286,48.48692506666666,47.172866,23.585822
2024-03-26,70.476406,1,80,3,3,1,TF,47.134263,23.585822,46.75983,47.135484,43.733079,45.41671778571429,48.0489855,47.172866,23.585822
2024-03-27,23.585822,2,81,2,3,1,TF,70.476406,47.134263,23.585822,47.171644,47.06749642857143,47.08410092857143,49.59851903333333,70.476406,23.585822
2024-03-28,23.587044,3,82,1,3,1,TF,23.585822,70.476406,47.134263,47.172866,43.698093285714286,45.40215664285714,48.7852715,70.476406,23.585822
2024-03-29,23.6039,4,0,0,3,1,TF,23.587044,23.585822,70.476406,47.171644,40.32869014285715,43.72029964285714,47.9719831,70.476406,23.585822
2024-03-30,23.606346,5,1,32,3,1,TF,23.6039,23.587044,23.585822,46.75983,36.96186957142857,42.039646642857136,47.15929736666667,70.476406,23.585822
2024-03-31,0.0,6,2,31,3,1,TF,23.606346,23.6039,23.587044,23.585822,33.654229,40.35632378571428,47.15457396666667,70.476406,23.585822
2024-04-01,48.188646,0,3,30,4,2,TF,0.0,23.606346,23.6039,47.134263,30.28482585714286,36.986920642857136,44.78195396666667,70.476406,0.0
2024-04-02,23.271244,1,4,29,4,2,TF,48.188646,0.0,23.606346,70.476406,30.435452,37.0842655,44.81626136666667,70.476406,0.0
2024-04-03,71.37702,2,5,28,4,2,TF,23.271244,48.188646,0.0,23.585822,23.691857428571428,35.37967692857143,43.221085833333326,48.188646,0.0
2024-04-04,24.075844,3,6,27,4,2,TF,71.37702,23.271244,48.188646,23.587044,30.51917142857143,37.10863235714286,43.23137633333333,71.37702,0.0
