Fecha,isla,nombre_isla,toneladas_pred,cisternas_equivalentes_pred,fecha_corte_modelo,fecha_generacion,tipo_forecast
2026-09-24,TF,Tenerife,28.95205340203991,1.2063355584183295,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-25,GC,Gran Canaria,47.408850671911544,1.9753687779963143,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-25,TF,Tenerife,25.780117908671805,1.0741715795279918,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-26,GC,Gran Canaria,45.581204293296295,1.8992168455540124,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-26,TF,Tenerife,26.14949328058872,1.08956222002453,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-27,GC,Gran Canaria,45.69406427642688,1.90391934485112,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-27,TF,Tenerife,24.92335408944983,1.0384730870604095,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-28,GC,Gran Canaria,55.70212474629456,2.3209218644289398,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-28,TF,Tenerife,32.437653834997285,1.3515689097915535,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-29,GC,Gran Canaria,48.0107279122036,2.0004469963418168,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-29,TF,Tenerife,31.03583957630198,1.293159982345916,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-30,GC,Gran Canaria,56.122248595771396,2.338427024823808,2026-08-31,2026-09-01 07:24:52,inicial
2026-09-30,TF,Tenerife,32.69570225463635,1.3623209272765147,2026-08-31,2026-09-01 07:24:52,inicial
