Fecha,toneladas,prediccion,error,error_abs
2026-01-01,23.075375,23.034709019448112,0.04066598055188919,0.04066598055188919
2026-01-02,23.236422,32.468144716038346,-9.231722716038345,9.231722716038345
2026-01-03,0.0,33.08716009617509,-33.08716009617509,33.08716009617509
2026-01-04,69.508677,30.59846587399415,38.910211126005855,38.910211126005855
2026-01-05,46.214098,42.75386728326363,3.460230716736369,3.460230716736369
2026-01-06,23.232627,33.70931828163552,-10.476691281635517,10.476691281635517
2026-01-07,71.5947744,26.99625015507744,44.598524244922565,44.598524244922565
2026-01-08,23.21551,24.608615993745985,-1.393105993745987,1.393105993745987
2026-01-09,46.15302,32.7021980432329,13.4508219567671,13.4508219567671
2026-01-10,46.317898,27.671805555141418,18.64609244485858,18.64609244485858
2026-01-11,0.0,31.89236756995546,-31.89236756995546,31.89236756995546
2026-01-12,91.528325,48.26475097634699,43.26357402365301,43.26357402365301
2026-01-13,46.414328,35.381980407550806,11.032347592449192,11.032347592449192
2026-01-14,46.364965,34.360371206641524,12.004593793358474,12.004593793358474
2026-01-15,36.5822015,34.217696722364025,2.3645047776359718,2.3645047776359718
2026-01-16,48.064244,41.43411549603391,6.630128503966091,6.630128503966091
2026-01-17,48.340673,38.756713891259544,9.583959108740459,9.583959108740459
2026-01-18,48.392596,35.05312485889242,13.33947114110758,13.33947114110758
2026-01-19,70.62077,72.08486696419331,-1.4640969641933168,1.4640969641933168
2026-01-20,36.470385,51.95740734658766,-15.487022346587658,15.487022346587658
2026-01-21,48.268746,51.67776967079326,-3.4090236707932604,3.4090236707932604
2026-01-22,49.054293,38.320676699812594,10.733616300187407,10.733616300187407
2026-01-23,24.137363,44.13082725910695,-19.99346425910695,19.99346425910695
2026-01-24,72.46087,46.83012482945158,25.630745170548423,25.630745170548423
2026-01-25,48.183156,38.75984915260994,9.423306847390059,9.423306847390059
2026-01-26,48.2805,68.7719687589745,-20.49146875897449,20.49146875897449
2026-01-27,60.64326199999999,52.599221486189606,8.044040513810387,8.044040513810387
2026-01-28,48.155908,48.795192194592005,-0.6392841945920082,0.6392841945920082
2026-01-29,60.536201,46.263755210575965,14.272445789424033,14.272445789424033
2026-01-30,48.254604,42.72117906604395,5.533424933956049,5.533424933956049
2026-01-31,24.11874,44.91159334416407,-20.79285334416407,20.79285334416407
2026-02-01,24.080396,48.43678924763705,-24.35639324763705,24.35639324763705
2026-02-02,46.508464000000004,65.57251445060737,-19.06405045060737,19.06405045060737
2026-02-03,48.46215,53.60582244765385,-5.143672447653849,5.143672447653849
2026-02-04,24.181092,50.09939621476063,-25.91830421476063,25.91830421476063
2026-02-05,60.681172,50.288645198527405,10.392526801472592,10.392526801472592
2026-02-06,48.37488,40.53481978072608,7.840060219273916,7.840060219273916
2026-02-07,24.124865,40.87900906520653,-16.754144065206532,16.754144065206532
2026-02-08,48.347638,41.296974123001796,7.0506638769982075,7.0506638769982075
2026-02-09,72.509381,62.40108260646353,10.108298393536472,10.108298393536472
2026-02-10,60.833896,50.32369372572412,10.510202274275883,10.510202274275883
2026-02-11,74.63434219999999,44.888244705902075,29.746097494097917,29.746097494097917
2026-02-12,24.04287,44.2113969477323,-20.168526947732296,20.168526947732296
2026-02-13,36.533395,46.39291629765789,-9.859521297657892,9.859521297657892
